Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
1577000,1.6452218,8.035714285714286,0.9071513,0.058125753,0.9912848450920798,0.9912848450920798,0.0,1.0
1578000,1.6452218,13.969696969696969,0.86627764,0.05431249,0.9838282836206032,0.9838282836206032,0.0,1.0
1579000,1.645222,14.205882352941176,0.88717157,0.058908366,0.9844411769334007,0.9844411769334007,0.0,1.0
1580000,1.6452218,14.951612903225806,0.8773745,0.05538531,0.9826774183780916,0.9826774183780916,0.0,1.0
1581000,1.645222,11.986842105263158,0.88297325,0.057124898,0.9860900866018759,0.9860900866018759,0.0,1.0
1582000,1.6452218,16.473684210526315,0.88008624,0.054346766,0.9811724126338959,0.9811724126338959,0.0,1.0
1583000,1.6452218,15.209677419354838,0.8879153,0.054549452,0.9830430111577434,0.9830430111577434,0.0,1.0
1584000,1.645222,13.385714285714286,0.88002473,0.055571973,0.9851523791040693,0.9851523791040693,0.0,1.0
1585000,1.6452218,16.322033898305083,0.8956507,0.055877633,0.9808222184578578,0.9808222184578578,0.0,1.0
1586000,1.645222,13.621212121212121,0.8823987,0.055541232,0.9839696938341315,0.9839696938341315,0.0,1.0
1587000,1.6452218,17.272727272727273,0.87109935,0.05572161,0.9794197524035418,0.9794197524035418,0.0,1.0
1588000,1.6452218,14.476923076923077,0.88110894,0.0558318,0.9852020171555605,0.9852020171555605,0.0,1.0
1589000,1.645222,11.974683544303797,0.89285016,0.05695545,0.9860341854584522,0.9860341854584522,0.0,1.0
1590000,1.6452218,16.685185185185187,0.8916349,0.054597236,0.9805454535917802,0.9805454535917802,0.0,1.0
1591000,1.6452218,13.408450704225352,0.8852483,0.05538445,0.9853051607037934,0.9853051607037934,0.0,1.0
1592000,1.645222,13.71830985915493,0.8953409,0.05855422,0.9843478220096533,0.9843478220096533,0.0,1.0
1593000,1.645222,16.59016393442623,0.8879368,0.060002342,0.9824371572400703,0.9824371572400703,0.0,1.0
1594000,1.6452218,16.20967741935484,0.87589294,0.05591332,0.9825698896761863,0.9825698896761863,0.0,1.0
1595000,1.6452218,14.0,0.88762915,0.05468506,0.9804242405024441,0.9804242405024441,0.0,1.0
1596000,1.6452218,16.50877192982456,0.8789264,0.053639926,0.9820233897158974,0.9820233897158974,0.0,1.0
1597000,1.6452218,15.707692307692307,0.8951665,0.057532385,0.9843487116006705,0.9843487116006705,0.0,1.0
1598000,1.6452245,12.642857142857142,0.87777007,0.05151215,0.9838164215502532,0.9838164215502532,0.00868776919568241,1.0
1599000,1.6452241,15.586206896551724,0.8809447,0.051936615,0.9807011536483107,0.9807011536483107,0.011612397441961643,1.0
1600000,1.6452242,14.859375,0.885833,0.052737646,0.9832187481224537,0.9832187481224537,0.011030970385036198,1.0
1601000,1.6452242,13.909090909090908,0.8855378,0.052828353,0.984248754693501,0.984248754693501,0.01361340591284349,1.0
1602000,1.6452243,13.32394366197183,0.8841803,0.051053964,0.9847333260944912,0.9847333260944912,0.010598913662085709,1.0
1603000,1.6452242,19.6734693877551,0.8782192,0.049863026,0.9770068039699477,0.9770068039699477,0.011518585315682185,1.0
1604000,1.6452243,16.24561403508772,0.88705015,0.05230043,0.9811149373136717,0.9811149373136717,0.013000023045731661,1.0
1605000,1.6452245,15.6,0.881859,0.052447066,0.9809943579011045,0.9809943579011045,0.012704555405465633,1.0
1606000,1.6452241,17.74074074074074,0.8814667,0.05324461,0.9808363632722334,0.9808363632722334,0.013400849262887442,1.0
1607000,1.6452242,21.02173913043478,0.87723327,0.050333735,0.9762518538369073,0.9762518538369073,0.013700077594128541,1.0
1608000,1.6452245,13.588235294117647,0.8837331,0.051741485,0.9838067586871161,0.9838067586871161,0.012453684487980723,1.0
1609000,1.6452242,15.916666666666666,0.878776,0.050751325,0.9816497190523956,0.9816497190523956,0.012766859528926295,1.0
1610000,1.6452241,12.136986301369863,0.8899549,0.052725065,0.9857657583984168,0.9857657583984168,0.01382803802600294,1.0
1611000,1.6452242,13.205479452054794,0.8805139,0.052001726,0.9855117403285604,0.9855117403285604,0.011654199280572767,1.0
1612000,1.6452241,14.242424242424242,0.8788387,0.05088514,0.9835858543713888,0.9835858543713888,0.012275793814214094,1.0
1613000,1.6452241,14.333333333333334,0.8786621,0.05194771,0.9829025653692393,0.9829025653692393,0.010539286622280578,1.0
1614000,1.6452241,15.76271186440678,0.87576723,0.051177498,0.9814350251424111,0.9814350251424111,0.013090858822471414,1.0
1615000,1.6452241,14.388059701492537,0.87920976,0.051561058,0.9839898952932069,0.9839898952932069,0.01101420733153425,1.0
1616000,1.6452245,15.0,0.8798414,0.051194165,0.9829032248066317,0.9829032248066317,0.011915338554254343,1.0
1617000,1.6452241,13.455882352941176,0.881923,0.05162719,0.9839411737287745,0.9839411737287745,0.009888869924265343,1.0
1618000,1.6452022,14.893939393939394,0.8873723,0.052676443,0.9842626208608801,0.9842626208608801,0.010662278215243008,1.0
1619000,1.6448922,14.276923076923078,0.8816122,0.0544524,0.9835937470197678,0.9835937470197678,0.010342119343249578,1.0
1620000,1.6448923,14.721311475409836,0.8787213,0.055722985,0.982539677430713,0.982539677430713,0.012210193662516152,1.0
1621000,1.6448922,12.786666666666667,0.8851367,0.057227023,0.9852785419111383,0.9852785419111383,0.010647752702998456,1.0
1622000,1.6448926,14.03125,0.8905918,0.056701664,0.9841212079380498,0.9841212079380498,0.012122929968454904,1.0
